,Company Name,Rating,Reviews,Company Type,HQ,Company Age,Employee Count
125,Axis Direct,4.0,(2.3k Reviews),Private,"San Mateo,California + 264 more",11 years old,1k-5k Employees (India)
126,Dominos Pizza,4.1,(2.3k Reviews),Public,"Ypsilanti,Michigan + 197 more",62 years old,1k-5k Employees (India)
127,Wipro Consumer ...,3.8,(2.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 70 more",77 years old,1k-5k Employees (India)
128,IQVIA,4.2,(2.3k Reviews),Partnership,Durham + 38 more,40 years old,10k-50k Employees (India)
129,D Mart,4.0,(2.3k Reviews),Private,"Mumbai,Maharashtra + 144 more",22 years old,5k-10k Employees (India)
130,Nagarjuna Constr...,4.2,(2.4k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 166 more",24 years old,1k-5k Employees (India)
131,Royal Enfield,4.2,(2.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 225 more",67 years old,5k-10k Employees (India)
132,CBRE,4.3,(2.2k Reviews),Private,"Los Angeles,California + 50 more",116 years old,10k-50k Employees (India)
133,State Bank of In...,3.9,(2.2k Reviews),"Mumbai,Maharashtra + 325 more",216 years old,1 Lakh+ Employees (India),
134,JBM Group,4.1,(2.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 71 more",39 years old,1k-5k Employees (India)
135,ICICI Lombard Ge...,3.8,(2.2k Reviews),Public,"Mumbai,Maharashtra + 193 more",21 years old,5k-10k Employees (India)
136,Tata Communicati...,4.2,(2.9k Reviews),Public,"Mumbai,Maharashtra + 87 more",36 years old,10k-50k Employees (India)
137,Equitas Small Fi...,4.1,(2.1k Reviews),Private,"Chennai,Tamil Nadu + 274 more",15 years old,1k-5k Employees (India)
138,Flex,4.2,(2.1k Reviews),Private,San Jose + 36 more,53 years old,10k-50k Employees (India)
139,Amdocs,4.1,(2.1k Reviews),Private,"Chesterfield,Missouri + 11 more",40 years old,10k-50k Employees (India)
140,Muthoot Fincorp,4.0,(2.1k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 400 more",135 years old,10k-50k Employees (India)
141,Motherson Sumi S...,3.9,(3.4k Reviews),Public,"Noida,Uttar Pradesh + 61 more",36 years old,1k-5k Employees (India)
142,LG Electronics,4.1,(2.2k Reviews),Public,"Seoul,Seoul + 183 more",64 years old,5k-10k Employees (India)
143,Sodexo,4.1,(2.2k Reviews),Private,Issy Les Moulineaux + 106 more,14 years old,10k-50k Employees (India)
144,UST,4.1,(2.3k Reviews),Private,"Aliso Viejo,California + 32 more",21 years old,10k-50k Employees (India)
145,Hetero Drugs,4.0,(2.4k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 31 more",29 years old,1k-5k Employees (India)
146,L&T Financial Se...,4.1,(2.1k Reviews),Public,"Mumbai,Maharashtra + 369 more",28 years old,10k-50k Employees (India)
147,Bosch Global Sof...,4.2,(2.1k Reviews),Private,Gerlingen + 18 more,32 years old,10k-50k Employees (India)
148,Ford Motor,4.6,(2.4k Reviews),Public,"Dearborn,Michigan + 98 more",119 years old,5k-10k Employees (India)
149,John Deere,4.4,(2.3k Reviews),Private,"Moline,Illinois + 91 more",21 years old,1k-5k Employees (India)
150,Ecom Express,4.3,(2.1k Reviews),Private,"Gurgaon,Haryana + 449 more",10 years old,10k-50k Employees (India)
151,Nagarro,4.6,(2.1k Reviews),Private,"Munich,Bavaria + 28 more",26 years old,5k-10k Employees (India)
152,Whitehat jr,3.8,(2.1k Reviews),Private,"Mumbai,Maharashtra + 45 more",4 years old,5k-10k Employees (India)
153,Bajaj Auto,4.1,(5.6k Reviews),Public,"Pune,Maharashtra + 194 more",77 years old,201-500 Employees (India)
154,Alembic Pharmace...,4.1,(2k Reviews),Public,"Vadodara/Baroda,Gujrat + 115 more",115 years old,5k-10k Employees (India)
155,SBI Life Insuran...,3.8,(2k Reviews),Public,"Mumbai,Maharashtra + 398 more",21 years old,10k-50k Employees (India)
156,Abbott Healthcar...,4.2,(3.4k Reviews),Public,"Illinois City,Illinois + 137 more",31 years old,10k-50k Employees (India)
157,KEC Internationa...,4.2,(2k Reviews),Public,"Mumbai,Maharashtra + 192 more",77 years old,5k-10k Employees (India)
158,Indiamart Interm...,3.8,(2k Reviews),Private,"Noida,Uttar Pradesh + 95 more",26 years old,10k-50k Employees (India)
159,Cholamandalam In...,4.3,(2k Reviews),Private,"Chennai,Tamil Nadu + 454 more",44 years old,1k-5k Employees (India)
160,Hindustan Coca C...,4.4,(2k Reviews),Private,Bangalore + 164 more,25 years old,1k-5k Employees (India)
161,Simplex Infrastr...,3.7,(2.2k Reviews),Public,"Kolkata,West Bengal + 119 more",98 years old,1k-5k Employees (India)
162,Muthoot Group,3.6,(4.3k Reviews),Public,"Wedel,Schleswig-holstein + 317 more",135 years old,1k-5k Employees (India)
163,Subros,4.0,(2k Reviews),Public,"Noida,Uttar Pradesh + 31 more",37 years old,1k-5k Employees (India)
164,Schneider Electr...,4.2,(3.6k Reviews),Private,Paris + 63 more,23 years old,10k-50k Employees (India)
165,Wipro Enterprise...,3.8,(2k Reviews),Bangalore + 65 more,77 years old,1 Lakh+ Employees (India),
166,BigBasket,4.2,(2k Reviews),Private,"Bangalore,Karnataka + 68 more",11 years old,5k-10k Employees (India)
167,Arvind Group,4.1,(2.2k Reviews),Public,"Ahmedabad,Gujrat + 128 more",91 years old,10k-50k Employees (India)
168,Thermax,4.3,(2.2k Reviews),Public,"Pune,Maharashtra + 117 more",42 years old,1k-5k Employees (India)
169,Gati kwe,4.1,(2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 143 more",10 years old,1k-5k Employees (India)
170,GlobalLogic,4.0,(2k Reviews),Private,"San Jose,California + 22 more",22 years old,5k-10k Employees (India)
171,Intas Pharmaceut...,4.3,(2k Reviews),Private,"Ahmedabad,Gujrat + 93 more",22 years old,5k-10k Employees (India)
172,NatWest Group,4.1,(1.9k Reviews),Chennai + 18 more,10k-50k Employees (India),,
173,Shoppers Stop,4.3,(2k Reviews),Public,"Mumbai,Maharashtra + 53 more",31 years old,10k-50k Employees (India)
174,VE Commercial Ve...,4.1,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 101 more",14 years old,1k-5k Employees (India)
175,Muthoot Finance,3.6,(1.9k Reviews),Public,"Kochi/Cochin,Kerala + 372 more",83 years old,10k-50k Employees (India)
176,Varun Beverages,4.0,(1.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 180 more",27 years old,5k-10k Employees (India)
177,Indian Air Force,4.6,(1.9k Reviews),Private,"New Delhi,Delhi + 98 more",90 years old,1 Lakh+ Employees (India)
178,Atos,3.8,(6.2k Reviews),Private,"Vilnius,Vilniaus Apskritis + 30 more",25 years old,10k-50k Employees (India)
179,Cummins,4.4,(1.9k Reviews),"Columbus,Indiana + 74 more",60 years old,10k-50k Employees (India),
180,Suzlon Group,4.2,(1.9k Reviews),Public,"Pune,Maharashtra + 82 more",27 years old,5k-10k Employees (India)
181,McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 114 more",67 years old,5k-10k Employees (India)
182,Macleods Pharmac...,4.0,(1.9k Reviews),Public,"Mumbai,Maharashtra + 73 more",36 years old,5k-10k Employees (India)
183,DTDC Express,4.0,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 184 more",32 years old,1k-5k Employees (India)
184,CMS IT Services,3.2,(1.8k Reviews),Private,"Bangalore,Karnataka + 110 more",8 years old,5k-10k Employees (India)
185,Bel,4.2,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 28 more",68 years old,5k-10k Employees (India)
186,Lava Internation...,4.2,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 201 more",13 years old,1k-5k Employees (India)
187,Glenmark Pharmac...,4.2,(1.8k Reviews),Public,"Mumbai,Maharashtra + 105 more",45 years old,5k-10k Employees (India)
188,ABB Group,4.1,(1.8k Reviews),Public,Zurich + 84 more,21 years old,5k-10k Employees (India)
189,American Express,4.4,(2k Reviews),Private,"New York City,New York + 34 more",172 years old,10k-50k Employees (India)
190,Virtusa Consulti...,3.8,(1.8k Reviews),Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India)
191,Deutsche Bank,4.3,(1.8k Reviews),Private,Frankfurt + 29 more,152 years old,10k-50k Employees (India)
192,Alkem Laboratori...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 114 more",49 years old,10k-50k Employees (India)
193,Honda Motorcycle...,4.2,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 160 more",23 years old,5k-10k Employees (India)
194,Optum,4.1,(1.8k Reviews),Private,Minnesota + 19 more,45 years old,50k-1 Lakh Employees (India)
195,Randstad,4.2,(1.8k Reviews),Private,"Chennai,Tamil Nadu + 194 more",30 years old,1k-5k Employees (India)
196,Swiggy,4.2,(1.8k Reviews),Private,"Bangalore,Karnataka + 124 more",8 years old,1k-5k Employees (India)
197,Reliance Nippon ...,3.9,(1.8k Reviews),Private,"Mumbai,Maharashtra + 374 more",22 years old,10k-50k Employees (India)
198,Havells,4.2,(2k Reviews),Public,"Noida,Uttar Pradesh + 117 more",39 years old,5k-10k Employees (India)
199,Standard Charter...,4.2,(4.2k Reviews),Private,London + 57 more,53 years old,5k-10k Employees (India)
200,Pidilite Industr...,4.4,(1.9k Reviews),Public,"Mumbai,Maharashtra + 162 more",63 years old,5k-10k Employees (India)
201,Ipca Laboratorie...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 96 more",73 years old,5k-10k Employees (India)
202,KocharTech,4.5,(1.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",27 years old,5k-10k Employees (India)
203,DCB Bank,4.0,(1.7k Reviews),Private,"Mumbai,Maharashtra + 230 more",92 years old,5k-10k Employees (India)
204,Bajaj Electrical...,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 161 more",84 years old,5k-10k Employees (India)
205,Tata Teleservice...,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 153 more",26 years old,201-500 Employees (India)
206,Indian Oil Corpo...,4.4,(1.9k Reviews),Private,"Delhi/NCR,Delhi + 172 more",63 years old,10k-50k Employees (India)
207,Titan Company,4.4,(1.7k Reviews),Public,"Mumbai,Maharashtra + 116 more",4 years old,5k-10k Employees (India)
208,Future Retail,4.2,(4.3k Reviews),Public,"San Francisco,California + 183 more",35 years old,10k-50k Employees (India)
209,24/7 Customer,3.6,(1.7k Reviews),Private,"San Jose,California + 18 more",22 years old,5k-10k Employees (India)
